,id,year,input_x,id2,year2,input_y,relationship,relationship_v2,penjelasan
1387,2010-B1P05,2010,<blok> Pendahuluan lokasi </blok><pertanyaan> Pengelompokan Desa/Kelurahan </pertanyaan>,2017-b5_r27b,2017,<blok> Pekerjaan utama </blok><pertanyaan> Berapa jumlah pekerja yang mendapatkan pembayaran? </pertanyaan>,tidak ada hubungan,tidak ada hubungan,"Pendahuluan lokasi + Pengelompokan Desa/Kelurahan tidak berkaitan dengan Pekerjaan utama + jumlah pekerja yang dibayar karena satu membahas wilayah administratif, lain menanyakan data pembayaran tenaga kerja.  
Pengenalan tempat + Klasifikasi Desa/Kelurahan tidak berkaitan dengan Pekerjaan utama + jumlah buruh yang dibayar karena satu mengenai identifikasi lokasi, lain mengenai statistik pembayaran tenaga kerja."
253,2012-B5P14BLM,2012,<blok> Pekerjaan utama </blok><pertanyaan> Berapa lama (NAMA) sudah bekerja di pekerjaan ini? (bulan) </pertanyaan>,2015-B5_R14B,2015,<blok> Pekerjaan utama </blok><pertanyaan> Sudah berapa lama (NAMA) bekerja di pekerjaan sekarang? (bulan) </pertanyaan>,equivalent,equivalen,"Keduanya menanyakan durasi kerja (dalam bulan) yang sama; hanya urutan kata dan penekanan yang berbeda, sehingga makna semantik tetap identik."
1380,2010-B5P10B,2010,<blok> Pekerjaan inti </blok><pertanyaan> Berapa jumlah buruh/karyawan/pegawai yang mendapat bayaran? </pertanyaan>,2012-UMUR,2012,<blok> Informasi anggota keluarga </blok><pertanyaan> Umur (dalam tahun) </pertanyaan>,tidak ada hubungan,tidak ada hubungan,"Pertanyaan tentang jumlah pekerja berhubungan dengan blok pekerjaan; pertanyaan umur berhubungan dengan blok anggota keluarga. Karena masing-masing pasangan membahas topik berbeda (pekerjaan vs keluarga), tidak ada hubungan semantik antara pasangan tersebut."
708,2010-B5P15B,2010,<blok> Pekerjaan utama </blok><pertanyaan> Berapa lama (NAMA) menghabiskan waktu untuk mencari pekerjaan atau mempersiapkan usaha?  </pertanyaan>,2015-B5_R204,2015,<blok> Aktivitas mencari kerja atau menyiapkan usaha </blok><pertanyaan> Tindakan apa saja yang pernah dilakukan (NAMA) dalam mencari kerja/mempersiapkan usaha? (Berhubungan dengan keluarga/kenalan) </pertanyaan>,tidak ada hubungan,tidak ada hubungan,"Kedua pasangan bertanya tentang aspek yang berbeda: satu mengukur durasi pencarian/penyiapan usaha, yang lain menguraikan tindakan spesifik (termasuk interaksi keluarga/kenalan). Karena fokus topiknya berbeda, tidak ada hubungan semantik antara keduanya."
3,2010-HUB,2010,<blok> Detail anggota keluarga </blok><pertanyaan> Hubungan dengan pemimpin rumah tangga (kode) </pertanyaan>,2012-HUB,2012,<blok> Detail anggota keluarga </blok><pertanyaan> Relasi dengan kepala keluarga (kode) </pertanyaan>,equivalent,equivalen,"Kata “pemimpin rumah tangga” dan “kepala keluarga” merupakan sinonim dalam konteks keluarga, sehingga kalimat tersebut memiliki arti semantik yang sama."
677,2020-r16a7,2020,"<blok> Umum Responden </blok><pertanyaan> Pada minggu terakhir, berapa total jam kerja harian Anda setelah memotong waktu istirahat? Minggu : </pertanyaan>",2012-B5P8B,2012,<blok> Aktivitas minggu terakhir </blok><pertanyaan> Berapa total jam kerja dari semua pekerjaan tiap hari selama minggu terakhir? </pertanyaan>,lebih khusus dari,lebih detail,"Karena menyebutkan “hari minggu” secara eksplisit sehingga menjelaskan komponen total jam kerja per hari termasuk hari minggu, menjadikannya lebih detail."
416,2015-B5_R15D,2015,<blok> Pekerjaan inti </blok><pertanyaan> Berapa waktu tempuh dari rumah ke kantor? </pertanyaan>,2017-b5_r37d,2017,<blok> Tugas pokok </blok><pertanyaan> Berapa lama waktu tempuh dari rumah menuju kantor? </pertanyaan>,equivalent,equivalen,"Semantik sama karena:  
- “Pekerjaan inti”, “Tugas pokok”, dan “Pekerjaan utama” semua merujuk pada fungsi utama dalam konteks tersebut.  
- “Berapa waktu tempuh”, “Berapa lama waktu tempuh”, “Berapa lama perjalanan” dan “Berapa lama perjalanan” menyatakan permintaan nilai waktu antara dua lokasi, hanya beda kata pernyataan.  
- Struktur kalimat dan makna inti (menanyakan durasi perjalanan) tidak berubah, sehingga kedua kalimat tersebut semantically equivalent."
352,2012-B5P2A3,2012,<blok> Aktivitas seminggu terakhir </blok><pertanyaan> Selama seminggu terakhir: Apakah (NAMA) bertanggung jawab atas urusan rumah tangga? </pertanyaan>,2020-r31b,2020,<blok> Aktivitas lain </blok><pertanyaan> Apakah Anda mengurus rumah tangga dalam seminggu terakhir? </pertanyaan>,equivalent,equivalen,"Kedua pasangan kalimat mengungkapkan pertanyaan tentang tanggung jawab mengurus rumah tangga dalam periode seminggu terakhir, meskipun perbedaan pada frasa dan struktur, sehingga makna semantik identik."
530,2017-b5_r19i,2017,"<blok> Aktivitas mencari pekerjaan/mempersiapkan usaha </blok>
<pertanyaan> Langkah apa yang diambil (NAMA) dalam upaya mencari pekerjaan atau mempersiapkan usaha selama seminggu/seminggu terakhir? Selain itu, harap tuliskan: </pertanyaan>",2020-r24f,2020,<blok> Kegiatan mencari pekerjaan atau menyiapkan usaha </blok><pertanyaan> Apakah ada usaha lain selain yang sudah ditanyakan di atas? tuliskan:           .................... </pertanyaan>,equivalent,equivalen,"Kedua formulasi menanyakan tentang kegiatan mencari pekerjaan/mempersiapkan usaha, upaya apa yang dilakukan, dan apakah ada upaya tambahan; sehingga makna informasi yang diminta identik."
843,2010-B5P1B,2010,<blok> Ilmu Pendidikan </blok><pertanyaan> Program studi/area pendidikan:  </pertanyaan>,2015-KODE_KAB,2015,<blok> Pengantar lokasi </blok><pertanyaan> Kabupaten/Kota * ) </pertanyaan>,tidak ada hubungan,tidak ada hubungan,"Pertanyaan “Program studi/area pendidikan” berhubungan dengan disiplin ilmu, sedangkan “Kabupaten/Kota” berhubungan dengan wilayah administratif; karena fokusnya berbeda, tidak ada hubungan semantik. Demikian pula, “Jurusan pendidikan/bidang studi” berhubungan dengan disiplin akademik, sementara “KABUPATEN/KOTA” berhubungan dengan lokasi geografis; kedua topik tersebut terpisah secara semantik."
393,2015-B5_R1B,2015,<blok> Pendidikan </blok><pertanyaan> Program studi pendidikan atau bidang akademik: </pertanyaan>,2017-b5_r1b,2017,<blok> Ciri-ciri umum </blok><pertanyaan> Program studi/jenjang pendidikan: </pertanyaan>,equivalent,equivalen,"Keduanya menyampaikan informasi yang sama tentang bidang pendidikan:  
- Istilah “Pendidikan” dan “Ciri‑ciri umum” merujuk pada konteks pendidikan secara keseluruhan.  
- “Program studi pendidikan atau bidang akademik” dan “Program studi/jenjang pendidikan” merujuk pada jenjang atau program yang identik.  
- Demikian juga “Jurusan pendidikan/bidang studi” dan “Karakteristik umum” menggambarkan konten yang sama."
580,2010-B5P6B,2010,<blok> Aktivitas satu minggu terakhir </blok><pertanyaan> Berapa total jam kerja pada semua aktivitas setiap hari dalam minggu terakhir? </pertanyaan>,2020-r16a1,2020,"<blok> Responden Umum </blok><pertanyaan> Selama tujuh hari terakhir, berapa jam kerja harian Anda setelah dikurangi waktu istirahat? Senin : </pertanyaan>",lebih umum dari,lebih agregat,"Pertanyaan agregat meminta total jam kerja semua hari dalam minggu, sedangkan pertanyaan detail hanya menghitung jam kerja satu hari (mis. Senin), sehingga agregat mencakup semua komponen termasuk Senin."
399,2015-B5_R2B,2015,"<blok> Kegiatan di minggu lalu </blok><pertanyaan> Pada minggu lalu, dari kegiatan 1 hingga 4 yang diberi “Ya”, kegiatan mana yang memakan waktu paling lama? </pertanyaan>",2017-b5_r5b,2017,"<blok> Kegiatan satu minggu dan satu bulan yang lalu </blok><pertanyaan> Dari kegiatan 1 hingga 4 yang mencatat Ya pada R.5.a, kegiatan apa yang memakan waktu paling banyak seminggu yang lalu? </pertanyaan>",equivalent,equivalen,"Keduanya menanyakan: di antara kegiatan 1‑4 yang memiliki nilai “Ya” pada R.5.a, kegiatan mana yang memakan waktu paling lama dalam periode satu minggu yang lalu. Sumber waktu (seminggu lalu) dan kriteria (kegiatan 1‑4, “Ya” pada R.5.a) identik, sehingga maknanya sama."
1244,2010-B5P19_6,2010,"<blok> Aktivitas mencari pekerjaan atau mempersiapkan usaha </blok>
<pertanyaan> Langkah-langkah apa saja yang pernah diambil (NAMA) dalam mencari pekerjaan atau mempersiapkan usaha? (mencari lokasi/tempat usaha) </pertanyaan>",2015-B5_R27,2015,<blok> Pengalaman profesional </blok><pertanyaan> Bagaimana posisi/posisi (NAMA) Anda sebelum meninggalkan pekerjaan/pindah ke pekerjaan terakhir? </pertanyaan>,tidak ada hubungan,tidak ada hubungan,"Pertanyaan pertama berfokus pada proses pencarian atau persiapan usaha, sedangkan pertanyaan kedua menanyakan posisi atau status profesional yang telah dimiliki sebelum pekerjaan terakhir; satu berkaitan dengan aktivitas pencarian/penyiapan, yang lain berkaitan dengan status profesional yang sudah ada."
556,2017-b5_r43a6,2017,"<blok> Umum Responden </blok><pertanyaan> Di tujuh hari terakhir, berapa total jam kerja harian Anda setelah dikurangi waktu istirahat? Sabtu : </pertanyaan>",2020-r20b6,2020,"<blok> Umum Responden </blok><pertanyaan> Di tujuh hari terakhir, berapa total jam kerja harian Anda setelah dikurangi waktu istirahat? Sabtu : </pertanyaan>",equivalent,equivalen,"Kedua rangkaian tag tersebut menyampaikan pertanyaan yang identik: “Berapa jam kerja harian Anda per hari setelah dikurangi waktu istirahat selama tujuh hari terakhir, khususnya pada hari Sabtu?”. Perbedaan penempatan tag `<blok>` (“Umum Responden” atau “Jam kerja seluruh pekerjaan”) tidak memengaruhi isi atau maksud pertanyaan, sehingga secara semantik keduanya setara. Demikian pula, pasangan kedua bertujuan yang sama—mengukur jam kerja harian di akhir pekan terakhir tanpa waktu istirahat—meski tag bloknya berbeda."
184,2010-UMUR,2010,<blok> Informasi anggota rumah tangga </blok><pertanyaan> Usia (tahun) </pertanyaan>,2020-k6,2020,<blok> Daftar anggota keluarga </blok><pertanyaan> Usia </pertanyaan>,equivalent,equivalen,"Karena kedua format menyiratkan daftar anggota keluarga dan nilai usia; “Informasi” = “Daftar” dan “Usia (tahun)” = “Usia”, sehingga makna semantik identik."
975,2017-b5_r43a,2017,"<blok> Umum Peserta </blok><pertanyaan> Selama tujuh hari terakhir, berapa total jam kerja harian Anda untuk semua pekerjaan setelah dikurangi waktu istirahat? Jumlah : </pertanyaan>",2012-B5P15B,2012,"<blok> Pekerjaan utama </blok><pertanyaan> Jika berada di luar kabupaten/kota tempat tinggal, apakah (NAMA) mengunjungi dan kembali ke tempat kerja setiap hari, setiap minggu, atau setiap bulan?** </pertanyaan>",tidak ada hubungan,tidak ada hubungan,"Pertanyaan pertama menanyakan jumlah jam kerja total per hari setelah dikurangi waktu istirahat, sedangkan pertanyaan kedua menanyakan frekuensi perjalanan (hari, minggu, atau bulan) ke/ dari tempat kerja; karena satu mengukur durasi kerja dan satu mengukur pola mobilitas, keduanya tidak saling terkait secara semantik."
672,2020-r16a2,2020,"<blok> Umum Responden </blok><pertanyaan> Selama tujuh hari terakhir, berapa jam kerja per hari Anda setelah dikurangi waktu istirahat? Selasa: </pertanyaan>",2012-B5P8B,2012,<blok> Aktivitas minggu terakhir </blok><pertanyaan> Berapa total jam kerja dari semua pekerjaan tiap hari selama minggu terakhir? </pertanyaan>,lebih khusus dari,lebih detail,"Karena ""<blok> Umum Responden </blok><pertanyaan> Selama tujuh hari terakhir, berapa jam kerja per hari Anda setelah dikurangi waktu istirahat? Selasa: </pertanyaan>"" meminta data per hari, termasuk hari Selasa, sedangkan ""<blok> Aktivitas minggu terakhir </blok><pertanyaan> Berapa total jam kerja dari semua pekerjaan tiap hari selama minggu terakhir? </pertanyaan>"" hanya meminta jumlah total, sehingga tidak memisahkan jam per hari.  
Karena ""<blok> Umum Responden </blok><pertanyaan> Dalam seminggu terakhir, berapa jumlah jam kerja Anda per hari dikurangi waktu istirahat? Selasa : </pertanyaan>"" juga meminta detail per hari termasuk Selasa, sedangkan ""<blok> Kegiatan seminggu yang lalu </blok><pertanyaan> Berapa jumlah jam kerja dari seluruh pekerjaan setiap hari selama seminggu yang lalu? </pertanyaan>"" hanya meminta total mingguan."
1252,2010-B5P3,2010,"<blok> Aktivitas seminggu terakhir </blok><pertanyaan> Apakah (NAMA) memiliki pekerjaan atau usaha, tetapi tidak bekerja pada minggu lalu? </pertanyaan>",2012-B5P20_1,2012,<blok> Aktivitas mencari pekerjaan/mempersiapkan usaha </blok><pertanyaan> Langkah-langkah apa yang pernah dilakukan (NAMA) dalam mencari pekerjaan/mempersiapkan usaha? (Daftar di bursa kesempatan kerja) </pertanyaan>,tidak ada hubungan,tidak ada hubungan,"Pertanyaan pertama menanyakan status pekerjaan/usaha selama minggu lalu, sedangkan pertanyaan kedua menanyakan langkah‑langkah yang pernah dilakukan dalam pencarian kerja atau mempersiapkan usaha. Fokus, konteks waktu, dan jenis informasi berbeda, sehingga tidak ada hubungan semantik."
634,2012-B5P13A,2012,<blok> Pekerjaan utama </blok><pertanyaan> Berapa penghasilan bersih (NAMA) yang diterima dalam 30 hari terakhir dari pekerjaan utama? (dalam bentuk uang) </pertanyaan>,2010-B5P11A,2010,<blok> Pekerjaan utama </blok><pertanyaan> Berapa pendapatan bersih (NAMA) bulan lalu dari pekerjaan utama? </pertanyaan>,lebih khusus dari,lebih detail,"Pertanyaan pertama dan ketiga menambahkan periode spesifik (30 hari terakhir / sebulan lalu) serta menegaskan bahwa jawaban harus dalam bentuk uang, sehingga lebih jelas dan rinci dibandingkan pertanyaan kedua dan keempat yang hanya menyebut “bulan lalu” tanpa menyatakan format uang."
